time,tank1.storage,tank1.output,pid_controller.output
0.0,1.6749999999999998,0.1,1.275
1.0,-0.8562499999999997,0.33499999999999996,-2.1962499999999996
2.0,4.714687499999998,-0.17124999999999996,5.399687499999999
3.0,-7.472890624999996,0.9429374999999997,-11.244640624999995
4.0,19.24057421874999,-1.4945781249999992,25.21888671874999
5.0,-39.271922851562486,3.848114843749998,-54.66438222656248
6.0,88.92638315429684,-7.854384570312497,120.34392143554683
7.0,-191.9195532836913,17.785276630859368,-263.0606598071288
8.0,423.3628223309324,-38.38391065673826,576.8984649578854
9.0,-924.5812937684625,84.67256446618647,-1263.2715516332084
10.0,2028.4851439035558,-184.9162587536925,2768.1501789183258
11.0,-4441.046173433448,405.69702878071115,-6063.834288556292
12.0,9732.325812383147,-888.2092346866896,13285.162751129905
13.0,-21318.504171461227,1946.4651624766295,-29104.364821367744
14.0,46707.25399546386,-4263.700834292245,63762.057332632845
15.0,-102322.67757192635,9341.450799092772,-139688.48076829745
16.0,224170.1481381584,-20464.535514385272,306028.2901956995
17.0,-491106.0445432839,44834.02962763168,-670442.1630538106
18.0,1075911.6609524172,-98221.20890865677,1468796.496587044
19.0,-2357090.164119338,215182.33219048343,-3217819.492881272
20.0,5163885.202204313,-471418.03282386763,7049557.333499785
21.0,-11312968.955727866,1032777.0404408626,-15444077.117491316
22.0,24784306.97686688,-2262593.7911455734,33834682.141449176
23.0,-54297131.56531971,4956861.395373376,-74124577.14681321
24.0,118953446.51725823,-10859426.313063942,162391151.769514
25.0,-260601647.04117376,23790689.303451646,-355764404.2549803
26.0,570922672.4927971,-52120329.40823475,779403990.1257362
27.0,-1250769897.848025,114184534.49855943,-1707508035.8422627
28.0,2740170286.2077446,-250153979.56960502,3740786204.486165
29.0,-6003129111.288273,548034057.2415489,-8195265340.254469
30.0,13151576504.125141,-1200625822.2576547,17954079793.155758
31.0,-28812301264.72994,2630315300.8250284,-39333562468.03005
